"run","initialStrength","dg","EndTime","initialActionNorm","normAgentCount","valueNormAgentCount","k","valueDifferenceMean","LHE:forceHumanAction","randomSeed","pieSize","selfTrAvgStrength","valueDifferenceSD","LHEAgentCount","selfEnAvgStrength","GUI","equalInitialQuality","valueAgentCount","initialAcceptRateNorm","agentCount","beta"
95,1.0,0.5,30,0,0,32,0.5,-0.55,"true",95,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
97,1.0,0.5,30,0,0,32,0.5,-0.55,"true",97,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
99,1.0,0.5,30,0,0,32,0.5,-0.55,"true",99,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
101,1.0,0.5,30,0,0,32,0.5,-0.55,"true",101,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
103,1.0,0.5,30,0,0,32,0.5,-0.55,"true",103,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
105,1.0,0.5,30,0,0,32,0.5,-0.55,"true",105,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
107,1.0,0.5,30,0,0,32,0.5,-0.55,"true",107,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
109,1.0,0.5,30,0,0,32,0.5,-0.55,"true",109,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
111,1.0,0.5,30,0,0,32,0.5,-0.55,"true",111,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
113,1.0,0.5,30,0,0,32,0.5,-0.55,"true",113,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
115,1.0,0.5,30,0,0,32,0.5,-0.55,"true",115,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
117,1.0,0.5,30,0,0,32,0.5,-0.55,"true",117,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
119,1.0,0.5,30,0,0,32,0.5,-0.55,"true",119,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
121,1.0,0.5,30,0,0,32,0.5,-0.55,"true",121,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
123,1.0,0.5,30,0,0,32,0.5,-0.55,"true",123,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
125,1.0,0.5,30,0,0,32,0.5,-0.55,"true",125,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
127,1.0,0.5,30,0,0,32,0.5,-0.55,"true",127,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
129,1.0,0.5,30,0,0,32,0.5,-0.55,"true",129,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
131,1.0,0.5,30,0,0,32,0.5,-0.55,"true",131,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
133,1.0,0.5,30,0,0,32,0.5,-0.55,"true",133,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
135,1.0,0.5,30,0,0,32,0.5,-0.55,"true",135,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
137,1.0,0.5,30,0,0,32,0.5,-0.55,"true",137,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
139,1.0,0.5,30,0,0,32,0.5,-0.55,"true",139,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
141,1.0,0.5,30,0,0,32,0.5,-0.55,"true",141,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
143,1.0,0.5,30,0,0,32,0.5,-0.55,"true",143,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
145,1.0,0.5,30,0,0,32,0.5,-0.55,"true",145,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
147,1.0,0.5,30,0,0,32,0.5,-0.55,"true",147,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
149,1.0,0.5,30,0,0,32,0.5,-0.55,"true",149,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
151,1.0,0.5,30,0,0,32,0.5,-0.55,"true",151,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
