"run","random_seed","AverageAcceptLastRound"
1,1,0.875
3,3,0.75
5,5,0.875
7,7,1.0
9,9,0.875
11,11,0.75
13,13,0.75
15,15,0.6875
17,17,0.8125
19,19,0.875
21,21,0.625
23,23,0.9375
25,25,0.875
27,27,0.9375
29,29,0.875
31,31,0.6875
33,33,0.8125
35,35,1.0
37,37,0.6875
39,39,0.875
41,41,0.5
43,43,0.8125
45,45,0.75
47,47,1.0
49,49,1.0
51,51,0.6875
53,53,0.875
55,55,0.6875
57,57,0.75
59,59,0.875
61,61,0.875
63,63,0.6875
65,65,0.9375
67,67,0.625
69,69,0.9375
71,71,0.6875
73,73,0.6875
75,75,0.8125
77,77,0.75
79,79,0.8125
81,81,0.8125
83,83,0.9375
85,85,0.875
87,87,0.8125
89,89,1.0
91,91,0.8125
93,93,0.8125
95,95,0.75
97,97,0.5625
99,99,0.6875
101,1,0.9375
103,3,0.9375
105,5,0.9375
107,7,1.0
109,9,0.875
111,11,0.875
113,13,0.875
115,15,0.9375
117,17,0.8125
119,19,1.0
121,21,0.8125
123,23,1.0
125,25,0.875
127,27,0.9375
129,29,0.9375
131,31,0.875
133,33,0.875
135,35,1.0
137,37,0.8125
139,39,1.0
141,41,0.8125
143,43,0.9375
145,45,0.9375
147,47,1.0
149,49,1.0
151,51,0.9375
153,53,0.9375
155,55,0.875
157,57,0.875
159,59,1.0
161,61,0.9375
163,63,0.875
165,65,0.9375
167,67,0.875
169,69,1.0
171,71,0.9375
173,73,0.875
175,75,0.875
177,77,0.875
179,79,0.9375
181,81,0.9375
183,83,1.0
185,85,0.9375
187,87,0.875
189,89,1.0
191,91,0.9375
193,93,0.8125
195,95,0.8125
197,97,0.9375
199,99,0.8125
201,1,0.9375
203,3,1.0
205,5,0.9375
207,7,1.0
209,9,0.9375
211,11,0.875
213,13,0.875
215,15,1.0
217,17,0.8125
219,19,1.0
221,21,0.8125
223,23,1.0
225,25,0.875
227,27,0.9375
229,29,0.9375
231,31,0.875
233,33,0.9375
235,35,1.0
237,37,0.9375
239,39,1.0
241,41,0.8125
243,43,0.9375
245,45,0.9375
247,47,1.0
249,49,0.9375
251,51,0.9375
253,53,0.9375
255,55,0.9375
257,57,0.875
259,59,1.0
261,61,0.9375
263,63,0.875
265,65,0.9375
267,67,0.875
269,69,1.0
271,71,0.9375
273,73,0.875
275,75,0.875
277,77,0.875
279,79,0.9375
281,81,0.875
283,83,1.0
285,85,0.9375
287,87,0.9375
289,89,1.0
291,91,1.0
293,93,0.875
295,95,0.8125
297,97,0.9375
299,99,0.75
301,1,1.0
303,3,0.9375
305,5,0.9375
307,7,1.0
309,9,1.0
311,11,0.9375
313,13,1.0
315,15,1.0
317,17,0.875
