"run","random_seed","tick","ID","LastAction","ValueDifference"
1,85890293,1.0,11,1337.0,-200.0
1,85890293,1.0,5,654.0,-200.0
1,85890293,1.0,13,1337.0,-0.02498340903308549
1,85890293,1.0,8,-1337.0,-1.1625248061787494
1,85890293,1.0,9,1337.0,-200.0
1,85890293,1.0,12,1337.0,-200.0
1,85890293,1.0,6,500.0,-0.16738918941054215
1,85890293,1.0,8,1337.0,-200.0
1,85890293,1.0,9,1337.0,0.8300368272930737
1,85890293,1.0,1,631.0,0.5033542101226314
1,85890293,1.0,7,741.0,0.9948950312452417
1,85890293,1.0,14,1337.0,0.7514006590536194
1,85890293,1.0,4,457.0,-200.0
1,85890293,1.0,0,640.0,0.5452102815822609
1,85890293,1.0,1,486.0,-200.0
1,85890293,1.0,5,683.0,0.7385454628101382
1,85890293,1.0,0,563.0,-200.0
1,85890293,1.0,10,1337.0,-200.0
1,85890293,1.0,2,590.0,-200.0
1,85890293,1.0,11,1337.0,1.6427866225337329
1,85890293,1.0,15,1337.0,-200.0
1,85890293,1.0,3,500.0,-1.4646562235842635
1,85890293,1.0,14,1337.0,-200.0
1,85890293,1.0,3,816.0,-200.0
1,85890293,1.0,4,500.0,-1.059887959479302
1,85890293,1.0,12,1337.0,0.9761505172288445
1,85890293,1.0,15,-1337.0,-0.88466407452377
1,85890293,1.0,6,618.0,-200.0
1,85890293,1.0,10,-1337.0,-0.2949684383438536
1,85890293,1.0,13,1337.0,-200.0
1,85890293,1.0,7,749.0,-200.0
1,85890293,1.0,2,727.0,0.9350526740521675
1,85890293,2.0,11,-1337.0,-200.0
1,85890293,2.0,5,339.0,-200.0
1,85890293,2.0,13,1337.0,-0.02498340903308549
1,85890293,2.0,8,1337.0,-1.1625248061787494
1,85890293,2.0,9,-1337.0,-200.0
1,85890293,2.0,12,-1337.0,-200.0
1,85890293,2.0,6,500.0,-0.16738918941054215
1,85890293,2.0,8,-1337.0,-200.0
1,85890293,2.0,9,1337.0,0.8300368272930737
1,85890293,2.0,1,631.0,0.5033542101226314
1,85890293,2.0,7,741.0,0.9948950312452417
1,85890293,2.0,14,1337.0,0.7514006590536194
1,85890293,2.0,4,552.0,-200.0
1,85890293,2.0,0,640.0,0.5452102815822609
1,85890293,2.0,1,603.0,-200.0
1,85890293,2.0,5,683.0,0.7385454628101382
1,85890293,2.0,0,341.0,-200.0
1,85890293,2.0,10,1337.0,-200.0
1,85890293,2.0,2,375.0,-200.0
1,85890293,2.0,11,1337.0,1.6427866225337329
1,85890293,2.0,15,1337.0,-200.0
1,85890293,2.0,3,500.0,-1.4646562235842635
1,85890293,2.0,14,1337.0,-200.0
1,85890293,2.0,3,580.0,-200.0
1,85890293,2.0,4,500.0,-1.059887959479302
1,85890293,2.0,12,1337.0,0.9761505172288445
1,85890293,2.0,15,1337.0,-0.88466407452377
1,85890293,2.0,6,637.0,-200.0
1,85890293,2.0,10,1337.0,-0.2949684383438536
1,85890293,2.0,13,1337.0,-200.0
1,85890293,2.0,7,514.0,-200.0
1,85890293,2.0,2,727.0,0.9350526740521675
