"run","random_seed","tick","ID","LastAction","ValueDifference"
1,1225942219,1.0,3,500.0,-0.9312831116111725
1,1225942219,1.0,12,-1337.0,-200.0
1,1225942219,1.0,7,0.0,-200.0
1,1225942219,1.0,2,0.0,-200.0
1,1225942219,1.0,13,-1337.0,-200.0
1,1225942219,1.0,11,-1337.0,-200.0
1,1225942219,1.0,8,1337.0,0.7108941075611981
1,1225942219,1.0,6,0.0,-200.0
1,1225942219,1.0,7,604.0,0.37386428160879226
1,1225942219,1.0,10,-1337.0,-0.01870514940563959
1,1225942219,1.0,12,1337.0,0.19234572783755363
1,1225942219,1.0,2,500.0,-0.3187040191623828
1,1225942219,1.0,13,1337.0,0.4235001745059523
1,1225942219,1.0,9,-1337.0,-0.06143727169336175
1,1225942219,1.0,10,-1337.0,-200.0
1,1225942219,1.0,9,-1337.0,-200.0
1,1225942219,1.0,15,-1337.0,-200.0
1,1225942219,1.0,0,0.0,-200.0
1,1225942219,1.0,5,813.0,1.2748325276064434
1,1225942219,1.0,11,1337.0,0.2774306893845486
1,1225942219,1.0,14,-1337.0,-200.0
1,1225942219,1.0,5,0.0,-200.0
1,1225942219,1.0,0,800.0,1.2272371883559894
1,1225942219,1.0,6,978.0,1.74718513823986
1,1225942219,1.0,1,0.0,-200.0
1,1225942219,1.0,8,-1337.0,-200.0
1,1225942219,1.0,14,-1337.0,-0.36919853889245763
1,1225942219,1.0,1,500.0,-2.0923748295754585
1,1225942219,1.0,15,-1337.0,-0.8161447359309576
1,1225942219,1.0,4,600.0,0.3532434093958923
1,1225942219,1.0,3,0.0,-200.0
1,1225942219,1.0,4,0.0,-200.0
1,1225942219,2.0,3,500.0,-0.9312831116111725
1,1225942219,2.0,12,1337.0,-200.0
1,1225942219,2.0,7,0.0,-200.0
1,1225942219,2.0,2,0.0,-200.0
1,1225942219,2.0,13,1337.0,-200.0
1,1225942219,2.0,11,-1337.0,-200.0
1,1225942219,2.0,8,1337.0,0.7108941075611981
1,1225942219,2.0,6,0.0,-200.0
1,1225942219,2.0,7,604.0,0.37386428160879226
1,1225942219,2.0,10,-1337.0,-0.01870514940563959
1,1225942219,2.0,12,1337.0,0.19234572783755363
1,1225942219,2.0,2,500.0,-0.3187040191623828
1,1225942219,2.0,13,1337.0,0.4235001745059523
1,1225942219,2.0,9,1337.0,-0.06143727169336175
1,1225942219,2.0,10,-1337.0,-200.0
1,1225942219,2.0,9,1337.0,-200.0
1,1225942219,2.0,15,-1337.0,-200.0
1,1225942219,2.0,0,0.0,-200.0
1,1225942219,2.0,5,813.0,1.2748325276064434
1,1225942219,2.0,11,1337.0,0.2774306893845486
1,1225942219,2.0,14,1337.0,-200.0
1,1225942219,2.0,5,0.0,-200.0
1,1225942219,2.0,0,800.0,1.2272371883559894
1,1225942219,2.0,6,978.0,1.74718513823986
1,1225942219,2.0,1,0.0,-200.0
1,1225942219,2.0,8,1337.0,-200.0
1,1225942219,2.0,14,-1337.0,-0.36919853889245763
1,1225942219,2.0,1,500.0,-2.0923748295754585
1,1225942219,2.0,15,-1337.0,-0.8161447359309576
1,1225942219,2.0,4,600.0,0.3532434093958923
1,1225942219,2.0,3,0.0,-200.0
1,1225942219,2.0,4,0.0,-200.0
1,1225942219,3.0,3,500.0,-0.9312831116111725
1,1225942219,3.0,12,1337.0,-200.0
1,1225942219,3.0,7,0.0,-200.0
1,1225942219,3.0,2,0.0,-200.0
1,1225942219,3.0,13,-1337.0,-200.0
1,1225942219,3.0,11,-1337.0,-200.0
1,1225942219,3.0,8,1337.0,0.7108941075611981
1,1225942219,3.0,6,0.0,-200.0
1,1225942219,3.0,7,604.0,0.37386428160879226
1,1225942219,3.0,10,1337.0,-0.01870514940563959
1,1225942219,3.0,12,-1337.0,0.19234572783755363
1,1225942219,3.0,2,500.0,-0.3187040191623828
1,1225942219,3.0,13,1337.0,0.4235001745059523
1,1225942219,3.0,9,-1337.0,-0.06143727169336175
1,1225942219,3.0,10,1337.0,-200.0
1,1225942219,3.0,9,1337.0,-200.0
1,1225942219,3.0,15,-1337.0,-200.0
1,1225942219,3.0,0,0.0,-200.0
1,1225942219,3.0,5,813.0,1.2748325276064434
1,1225942219,3.0,11,1337.0,0.2774306893845486
1,1225942219,3.0,14,1337.0,-200.0
1,1225942219,3.0,5,0.0,-200.0
1,1225942219,3.0,0,800.0,1.2272371883559894
1,1225942219,3.0,6,978.0,1.74718513823986
1,1225942219,3.0,1,0.0,-200.0
1,1225942219,3.0,8,1337.0,-200.0
1,1225942219,3.0,14,1337.0,-0.36919853889245763
1,1225942219,3.0,1,500.0,-2.0923748295754585
1,1225942219,3.0,15,-1337.0,-0.8161447359309576
1,1225942219,3.0,4,600.0,0.3532434093958923
1,1225942219,3.0,3,0.0,-200.0
1,1225942219,3.0,4,0.0,-200.0
1,1225942219,4.0,3,500.0,-0.9312831116111725
1,1225942219,4.0,12,1337.0,-200.0
1,1225942219,4.0,7,0.0,-200.0
1,1225942219,4.0,2,0.0,-200.0
1,1225942219,4.0,13,1337.0,-200.0
1,1225942219,4.0,11,-1337.0,-200.0
1,1225942219,4.0,8,1337.0,0.7108941075611981
1,1225942219,4.0,6,0.0,-200.0
1,1225942219,4.0,7,604.0,0.37386428160879226
1,1225942219,4.0,10,1337.0,-0.01870514940563959
1,1225942219,4.0,12,1337.0,0.19234572783755363
1,1225942219,4.0,2,500.0,-0.3187040191623828
1,1225942219,4.0,13,1337.0,0.4235001745059523
1,1225942219,4.0,9,1337.0,-0.06143727169336175
1,1225942219,4.0,10,-1337.0,-200.0
1,1225942219,4.0,9,1337.0,-200.0
1,1225942219,4.0,15,-1337.0,-200.0
1,1225942219,4.0,0,0.0,-200.0
1,1225942219,4.0,5,813.0,1.2748325276064434
1,1225942219,4.0,11,1337.0,0.2774306893845486
1,1225942219,4.0,14,-1337.0,-200.0
1,1225942219,4.0,5,0.0,-200.0
1,1225942219,4.0,0,800.0,1.2272371883559894
1,1225942219,4.0,6,978.0,1.74718513823986
1,1225942219,4.0,1,0.0,-200.0
1,1225942219,4.0,8,1337.0,-200.0
1,1225942219,4.0,14,-1337.0,-0.36919853889245763
1,1225942219,4.0,1,500.0,-2.0923748295754585
1,1225942219,4.0,15,1337.0,-0.8161447359309576
1,1225942219,4.0,4,600.0,0.3532434093958923
1,1225942219,4.0,3,0.0,-200.0
1,1225942219,4.0,4,0.0,-200.0
1,1225942219,5.0,3,500.0,-0.9312831116111725
1,1225942219,5.0,12,-1337.0,-200.0
1,1225942219,5.0,7,0.0,-200.0
1,1225942219,5.0,2,0.0,-200.0
1,1225942219,5.0,13,1337.0,-200.0
1,1225942219,5.0,11,1337.0,-200.0
1,1225942219,5.0,8,1337.0,0.7108941075611981
1,1225942219,5.0,6,0.0,-200.0
1,1225942219,5.0,7,604.0,0.37386428160879226
1,1225942219,5.0,10,-1337.0,-0.01870514940563959
1,1225942219,5.0,12,-1337.0,0.19234572783755363
1,1225942219,5.0,2,500.0,-0.3187040191623828
1,1225942219,5.0,13,1337.0,0.4235001745059523
1,1225942219,5.0,9,1337.0,-0.06143727169336175
1,1225942219,5.0,10,1337.0,-200.0
1,1225942219,5.0,9,1337.0,-200.0
1,1225942219,5.0,15,1337.0,-200.0
1,1225942219,5.0,0,0.0,-200.0
1,1225942219,5.0,5,813.0,1.2748325276064434
1,1225942219,5.0,11,1337.0,0.2774306893845486
1,1225942219,5.0,14,-1337.0,-200.0
1,1225942219,5.0,5,0.0,-200.0
1,1225942219,5.0,0,800.0,1.2272371883559894
1,1225942219,5.0,6,978.0,1.74718513823986
1,1225942219,5.0,1,0.0,-200.0
1,1225942219,5.0,8,1337.0,-200.0
1,1225942219,5.0,14,1337.0,-0.36919853889245763
1,1225942219,5.0,1,500.0,-2.0923748295754585
1,1225942219,5.0,15,-1337.0,-0.8161447359309576
1,1225942219,5.0,4,600.0,0.3532434093958923
1,1225942219,5.0,3,0.0,-200.0
1,1225942219,5.0,4,0.0,-200.0
1,1225942219,6.0,3,500.0,-0.9312831116111725
1,1225942219,6.0,12,1337.0,-200.0
1,1225942219,6.0,7,0.0,-200.0
1,1225942219,6.0,2,0.0,-200.0
1,1225942219,6.0,13,-1337.0,-200.0
1,1225942219,6.0,11,-1337.0,-200.0
1,1225942219,6.0,8,1337.0,0.7108941075611981
1,1225942219,6.0,6,0.0,-200.0
1,1225942219,6.0,7,604.0,0.37386428160879226
1,1225942219,6.0,10,1337.0,-0.01870514940563959
1,1225942219,6.0,12,1337.0,0.19234572783755363
1,1225942219,6.0,2,500.0,-0.3187040191623828
1,1225942219,6.0,13,1337.0,0.4235001745059523
1,1225942219,6.0,9,1337.0,-0.06143727169336175
1,1225942219,6.0,10,-1337.0,-200.0
1,1225942219,6.0,9,1337.0,-200.0
1,1225942219,6.0,15,1337.0,-200.0
1,1225942219,6.0,0,0.0,-200.0
1,1225942219,6.0,5,813.0,1.2748325276064434
1,1225942219,6.0,11,1337.0,0.2774306893845486
1,1225942219,6.0,14,-1337.0,-200.0
1,1225942219,6.0,5,0.0,-200.0
1,1225942219,6.0,0,800.0,1.2272371883559894
1,1225942219,6.0,6,978.0,1.74718513823986
1,1225942219,6.0,1,0.0,-200.0
1,1225942219,6.0,8,1337.0,-200.0
1,1225942219,6.0,14,-1337.0,-0.36919853889245763
1,1225942219,6.0,1,500.0,-2.0923748295754585
1,1225942219,6.0,15,-1337.0,-0.8161447359309576
1,1225942219,6.0,4,600.0,0.3532434093958923
1,1225942219,6.0,3,0.0,-200.0
1,1225942219,6.0,4,0.0,-200.0
1,1225942219,7.0,3,500.0,-0.9312831116111725
1,1225942219,7.0,12,-1337.0,-200.0
1,1225942219,7.0,7,0.0,-200.0
1,1225942219,7.0,2,0.0,-200.0
1,1225942219,7.0,13,1337.0,-200.0
1,1225942219,7.0,11,1337.0,-200.0
1,1225942219,7.0,8,1337.0,0.7108941075611981
1,1225942219,7.0,6,0.0,-200.0
1,1225942219,7.0,7,604.0,0.37386428160879226
1,1225942219,7.0,10,1337.0,-0.01870514940563959
1,1225942219,7.0,12,1337.0,0.19234572783755363
1,1225942219,7.0,2,500.0,-0.3187040191623828
1,1225942219,7.0,13,1337.0,0.4235001745059523
1,1225942219,7.0,9,1337.0,-0.06143727169336175
1,1225942219,7.0,10,-1337.0,-200.0
1,1225942219,7.0,9,-1337.0,-200.0
1,1225942219,7.0,15,1337.0,-200.0
1,1225942219,7.0,0,0.0,-200.0
1,1225942219,7.0,5,813.0,1.2748325276064434
1,1225942219,7.0,11,1337.0,0.2774306893845486
1,1225942219,7.0,14,1337.0,-200.0
1,1225942219,7.0,5,0.0,-200.0
1,1225942219,7.0,0,800.0,1.2272371883559894
1,1225942219,7.0,6,978.0,1.74718513823986
1,1225942219,7.0,1,0.0,-200.0
1,1225942219,7.0,8,-1337.0,-200.0
1,1225942219,7.0,14,-1337.0,-0.36919853889245763
1,1225942219,7.0,1,500.0,-2.0923748295754585
1,1225942219,7.0,15,-1337.0,-0.8161447359309576
1,1225942219,7.0,4,600.0,0.3532434093958923
1,1225942219,7.0,3,0.0,-200.0
1,1225942219,7.0,4,0.0,-200.0
